[+] https://www.tumblr.com/?
[+] https://www.tumblr.com/?.save
[+] https://www.tumblr.com/?.old
[+] https://www.tumblr.com/?.backup
[+] https://www.tumblr.com/?.BAK
[+] https://www.tumblr.com/?wsdl
[+] https://www.tumblr.com/?wsdl.save
[+] https://www.tumblr.com/?.bak
[+] https://www.tumblr.com/?wsdl.old
[+] https://www.tumblr.com/?.zip
[+] https://www.tumblr.com/?.rar
[+] https://www.tumblr.com/?wsdl.backup
[+] https://www.tumblr.com/?~
[+] https://www.tumblr.com/?wsdl.BAK
[+] https://www.tumblr.com/?wsdl.bak
[+] https://www.tumblr.com/?_old
[+] https://www.tumblr.com/?wsdl.zip
[+] https://www.tumblr.com/?_backup
[+] https://www.tumblr.com/?wsdl.rar
[+] https://www.tumblr.com/?_bak
[+] https://www.tumblr.com/?wsdl~
[+] https://www.tumblr.com/robots.txt
[+] https://www.tumblr.com/?wsdl_old
[+] https://www.tumblr.com/?wsdl_backup
[+] https://www.tumblr.com/?wsdl_bak
[x] https://www.tumblr.com/admin/account.html Forbidden
[x] https://www.tumblr.com/admin/account.php Forbidden
[x] https://www.tumblr.com/admin/admin Forbidden
[x] https://www.tumblr.com/admin/admin-login Forbidden
[x] https://www.tumblr.com/admin/admin-login.%EXT% Forbidden
[x] https://www.tumblr.com/admin/admin-login.html Forbidden
[x] https://www.tumblr.com/admin/admin-login.php Forbidden
[x] https://www.tumblr.com/admin/admin.html Forbidden
[x] https://www.tumblr.com/admin/admin.php Forbidden
[x] https://www.tumblr.com/admin/admin.shtml Forbidden
[x] https://www.tumblr.com/admin/admin/login Forbidden
[x] https://www.tumblr.com/admin/admin.%EXT% Forbidden
[x] https://www.tumblr.com/admin/admin_login Forbidden
[x] https://www.tumblr.com/admin/admin_login.%EXT% Forbidden
[x] https://www.tumblr.com/admin/admin_login.html Forbidden
[x] https://www.tumblr.com/admin/admin_login.php Forbidden
[x] https://www.tumblr.com/admin/adminLogin.%EXT% Forbidden
[x] https://www.tumblr.com/admin/adminLogin Forbidden
[x] https://www.tumblr.com/admin/adminLogin.htm Forbidden
[x] https://www.tumblr.com/admin/adminLogin.html Forbidden
[x] https://www.tumblr.com/admin/adminLogin.php Forbidden
[x] https://www.tumblr.com/admin/backup/ Forbidden
[x] https://www.tumblr.com/admin/backups/ Forbidden
[x] https://www.tumblr.com/admin/config.php Forbidden
