[+] http://api.netflix.com/robots.txt
[x] http://api.netflix.com/_layouts/sitemanager.aspx Forbidden
[x] http://api.netflix.com/_layouts/vsubwebs.aspx Forbidden
[x] http://api.netflix.com/_layouts/wrkmng.aspx Forbidden
[x] http://api.netflix.com/admin/_layouts Forbidden
[x] http://api.netflix.com/_catalogs/wp/forms/allitems.aspx Forbidden
[x] http://api.netflix.com/_layouts/mngctype.aspx Forbidden
[x] http://api.netflix.com/_layouts/AreaTemplateSettings.aspx Forbidden
[x] http://api.netflix.com/_layouts/mngfield.aspx Forbidden
[x] http://api.netflix.com/_layouts/prjsetng.aspx Forbidden
[x] http://api.netflix.com/_layouts/quiklnch.aspx Forbidden
[x] http://api.netflix.com/_layouts/themeweb.aspx Forbidden
[x] http://api.netflix.com/_layouts/addrole.aspx Forbidden
[x] http://api.netflix.com/_layouts/permsetup.aspx Forbidden
[x] http://api.netflix.com/wixpress/ Forbidden
[x] http://api.netflix.com/wix Forbidden
[x] http://api.netflix.com/wixdemo/ Forbidden
[x] http://api.netflix.com/wix-editor/ Forbidden
[x] http://api.netflix.com/editor2.jsp Forbidden
[x] http://api.netflix.com/anon_ftpstat/ Forbidden
[x] http://api.netflix.com/webstat-ssl/ Forbidden
[x] http://api.netflix.com/ftpstat/ Forbidden
[x] http://api.netflix.com/teams.json Forbidden
[x] http://api.netflix.com/webstat/ Forbidden
[x] http://api.netflix.com/groups.json Forbidden
[x] http://api.netflix.com/plesk-stat/ Forbidden
[x] http://api.netflix.com/page/ Forbidden
[x] http://api.netflix.com/pages/ Forbidden
[x] http://api.netflix.com/page.php Forbidden
[x] http://api.netflix.com/pages.php Forbidden
[x] http://api.netflix.com/images/ Forbidden
[x] http://api.netflix.com/image/ Forbidden
[x] http://api.netflix.com/scripts/ Forbidden
[x] http://api.netflix.com/upload/ Forbidden
[x] http://api.netflix.com/assets/ Forbidden
[x] http://api.netflix.com/mail/ Forbidden
[x] http://api.netflix.com/nrotc/ Forbidden
[x] http://api.netflix.com/app/plugins/saml-20-single-sign-on/saml/config/config.php Forbidden
[x] http://api.netflix.com/.git Forbidden
[x] http://api.netflix.com/xmlrpc.php Forbidden
[x] http://api.netflix.com/.git/ Forbidden
[x] http://api.netflix.com/.git-rewrite/ Forbidden
[x] http://api.netflix.com/.git/branches/ Forbidden
[x] http://api.netflix.com/.git/COMMIT_EDITMSG Forbidden
[x] http://api.netflix.com/.git/config Forbidden
[x] http://api.netflix.com/.git/configf Forbidden
[x] http://api.netflix.com/.git/description Forbidden
[x] http://api.netflix.com/.git/FETCH_HEAD Forbidden
[x] http://api.netflix.com/.git/HEAD Forbidden
[x] http://api.netflix.com/.git/hooks/ Forbidden
[x] http://api.netflix.com/.git/index Forbidden
[x] http://api.netflix.com/.git/info/ Forbidden
[x] http://api.netflix.com/.git/info/exclude Forbidden
[x] http://api.netflix.com/.git/logs/ Forbidden
[x] http://api.netflix.com/.git/logs/HEAD Forbidden
[x] http://api.netflix.com/.git/logs/refs Forbidden
[x] http://api.netflix.com/.git/logs/refs/heads Forbidden
[x] http://api.netflix.com/.git/logs/refs/heads/master Forbidden
[x] http://api.netflix.com/.git/logs/refs/remotes Forbidden
[x] http://api.netflix.com/.git/logs/refs/remotes/origin/HEAD Forbidden
[x] http://api.netflix.com/.git/logs/refs/remotes/origin Forbidden
[x] http://api.netflix.com/.git/logs/refs/remotes/origin/master Forbidden
[x] http://api.netflix.com/.git/objects/ Forbidden
[x] http://api.netflix.com/.git/packed-refs Forbidden
[x] http://api.netflix.com/.git/refs/ Forbidden
[x] http://api.netflix.com/.git/refs/heads Forbidden
[x] http://api.netflix.com/.git/refs/heads/master Forbidden
[x] http://api.netflix.com/.git/refs/remotes Forbidden
[x] http://api.netflix.com/.git/refs/remotes/origin/HEAD Forbidden
[x] http://api.netflix.com/.git/refs/remotes/origin/master Forbidden
[x] http://api.netflix.com/.git/refs/remotes/origin Forbidden
[x] http://api.netflix.com/.git/refs/tags Forbidden
